Date,Views,YouTube Premium (USD),Transaction revenue (USD),Watch Page ads (USD),Estimated revenue (USD),Impressions,Impressions click-through rate (%),Watch time (hours)
2023-05-22,279659,163.895,138.75,1594.092,1896.736,1181126,17.45,179687.491
2023-03-02,279627,167.846,63.75,1160.217,1391.813,1266696,16.21,203254.0665
2023-05-29,279336,159.652,35.7,1717.139,1912.491,1285552,16.14,172439.992
2023-03-23,277640,162.043,104.81,1904.301,2171.154,1288981,15.63,186681.8243
2023-03-26,276668,160.555,97.81,1630.644,1889.01,1173000,17.05,187316.7083
2023-04-24,276145,167.883,145.83,1815.236,2128.949,1344124,15.34,181192.7691
2023-04-23,276113,164.798,97.74,1674.108,1936.647,1436352,14.41,178676.1282
2023-05-19,274998,153.353,198.63,1526.048,1878.031,1347954,14.99,167655.0308
2023-02-11,273536,174.073,439.58,1005.485,1619.138,1472596,13.62,185002.0741
2023-02-24,273476,183.83,154.75,981.526,1320.106,1455974,13.73,194534.1154
2023-03-24,272778,157.329,124.24,1818.045,2099.614,1255002,15.7,181979.8613
2023-02-25,272641,172.769,79.36,997.972,1250.101,1585744,12.68,186938.9271
2023-05-31,272130,156.65,42.34,1700.884,1899.875,1323335,15.23,168272.2964
2023-05-23,271984,162.096,95.68,1568.403,1826.179,1193207,16.81,175595.1938
2023-03-19,271216,157.466,191.14,1747.898,2096.504,1288539,15.29,183673.4992
2023-03-13,270795,177.939,194.54,1541.831,1914.31,1200194,15.87,201876.9476
2023-03-15,270579,173.5,212.24,1951.684,2337.424,1174989,16.59,195181.0499
2023-04-15,269997,146.502,195.97,1540.799,1883.272,1720119,11.73,162243.0827
2023-04-25,269922,164.606,104.72,1761.963,2031.289,1233490,16.34,178617.1686
2023-05-11,269770,151.828,436.39,1626.105,2214.323,1201136,16.61,168625.3012
2023-03-08,269580,170.841,950.25,1108.984,2230.075,1370242,14.37,195853.2243
2023-04-21,269457,159.482,168.26,1293.366,1621.108,1515125,13.28,170580.6187
2023-03-14,269339,170.826,222.04,2175.38,2568.246,1172691,16.62,195569.4121
2023-05-21,268801,159.067,170.46,1477.096,1806.623,1225696,16.17,173316.9097
2023-02-27,268670,177.891,233.41,649.612,1060.913,1382676,14.22,188927.238
2023-05-24,268282,157.797,114.06,1622.93,1894.787,1186146,16.7,174166.8706
2023-03-09,268271,166.928,714.88,1358.658,2240.465,1351663,14.47,193717.5248
2023-03-06,268087,174.367,85.69,1074.616,1334.672,1210411,16.24,199709.1855
2023-05-25,266657,159.771,71.62,1622.324,1853.715,1273002,15.42,172278.899
2023-04-26,266635,164.139,94.33,1786.531,2044.999,1240912,16.13,177707.4871
2023-06-19,265801,149.195,196.09,1583.49,1928.775,1147981,16.52,160311.185
2023-03-17,265153,155.801,269.63,1763.145,2188.576,1375769,14.02,175670.6946
2023-05-28,264162,152.827,136.72,1438.414,1727.961,1266155,15.49,168736.2824
2023-03-07,263558,172.524,3684.31,1016.593,4873.426,1209958,15.9,199142.9279
2023-05-03,263147,156.471,64.07,1702.832,1923.374,1325095,14.73,167535.2434
2023-06-05,262389,162.052,99.86,1680.67,1942.582,1177157,16.42,171524.8406
2023-05-09,262270,159.547,706.9,1629.933,2496.379,1222456,15.99,170852.9153
2023-06-04,261946,151.158,94.95,1371.709,1617.817,1170721,16.45,164211.5308
2023-06-06,261881,160.284,97.08,1678.729,1936.093,1228976,15.59,167579.0279
2023-05-07,261859,151.647,3491.67,1429.032,5072.349,1244672,15.67,163382.9477
2023-03-25,261790,144.749,96.27,1508.956,1749.975,1282774,14.76,167076.5638
2023-02-26,260751,175.896,100.98,803.635,1080.511,1381031,13.63,187921.1131
2023-03-12,260506,159.721,244.44,734.866,1139.027,1273332,14.54,186576.9451
2023-05-15,260441,156.257,170.98,1388.678,1715.915,1172689,16.34,168501.7436
2023-03-05,260215,158.85,65.19,859.032,1083.072,1296159,14.78,184904.318
2023-05-02,260076,157.484,61.22,1712.748,1931.453,1257841,15.42,169778.4531
2023-06-08,259675,149.543,799.11,1521.35,2470.002,1194791,15.87,163472.0298
2023-03-11,259411,135.691,412.11,961.282,1509.083,1574469,11.79,165343.5382
2023-03-10,258769,153.92,675.58,1207.601,2037.101,1433835,12.97,181386.55
2023-06-01,258596,155.227,124.35,1646.459,1926.036,1224913,15.56,167273.8661
2023-05-20,258145,136.645,111.41,1268.801,1516.856,1278651,14.73,152019.4784
2023-06-02,257931,155.329,52.15,1555.031,1762.51,1257737,15.04,163571.6114
2023-05-04,257797,158.425,85.07,1685.37,1928.865,1307209,14.66,164785.0053
2023-04-27,257620,161.529,173.9,1713.977,2049.406,1151530,16.72,172677.8913
2023-03-18,256908,140.811,178.44,1538.971,1858.222,1426981,13.02,161328.6338
2023-06-07,255586,152.688,3264.56,1576.179,4993.427,1201837,15.58,164154.5638
2023-05-08,255438,155.028,845.51,1618.32,2618.857,1172370,16.13,166174.4959
2023-05-26,255421,147.497,84.45,1461.597,1693.544,1276914,14.75,163024.3568
2023-05-14,252865,143.078,228.04,1336.476,1707.594,1185720,15.69,159476.5417
2023-05-12,252536,139.935,237.14,1379.528,1756.603,1204105,15.33,154918.1556
2023-05-01,252359,156.195,159.76,1463.111,1779.066,1200125,15.63,168595.8712
2023-06-12,250988,149.425,255.82,1590.087,1995.332,1150018,15.81,159861.4918
2023-06-03,250962,138.235,52.36,1217.463,1408.058,1244241,14.79,151056.2794
2023-04-02,249722,132.671,54.19,1286.629,1473.49,1424927,12.89,152192.8036
2023-06-20,249362,146.185,104.43,1592.189,1842.805,1100030,16.05,155191.3259
2023-06-13,248654,151.285,177.31,1620.276,1948.871,1108449,16.13,159914.7197
2023-05-27,246257,133.948,162.52,1227.718,1524.186,1324544,13.71,149071.4843
2023-06-11,244284,146.244,397.48,1396.416,1940.14,1166454,15.17,154551.724
2023-04-30,240999,142.114,73.22,1435.722,1651.056,1244439,14.47,154173.8263
2023-06-09,240932,133.951,636.32,1361.188,2131.459,1181861,14.7,145978.4846
2023-05-05,239559,143.258,77.65,1544.223,1765.131,1204891,14.56,154093.77
2023-04-28,239009,151.913,158.09,1603.961,1913.964,1176315,14.98,159621.1478
2023-06-10,236529,132.936,577.72,1247.141,1957.797,1245619,13.75,141742.1791
2023-05-13,236360,124.958,201.94,1200.263,1527.161,1188824,14.49,141060.7378
2023-05-06,235652,126.922,62.08,1260.419,1449.42,1237043,14.02,143158.0828
2023-07-05,235211,126.008,176.55,1226.354,1528.912,1048422,15.84,149845.4467
2023-06-26,234014,146.274,139.72,1461.641,1747.634,1051494,15.79,153717.8328
2023-06-30,233496,136.325,64.43,1297.488,1498.243,1076061,15.26,143601.5425
2023-04-29,233193,134.897,25.92,1397.849,1558.667,1210038,14.16,145325.1823
2023-06-14,233137,142.062,210.81,1549.222,1902.094,978497,16.84,151501.7542
2023-06-15,232364,137.07,196.61,1598.668,1932.348,978343,16.77,149149.6565
2023-06-16,232097,137.367,202.61,1555.137,1895.115,1031375,15.92,147484.715
2023-06-29,231818,136.259,31.37,1485.807,1653.437,1059265,15.36,148904.6704
2023-06-27,231793,146.924,140.87,1450.689,1738.482,1026993,16.05,152051.6271
2023-04-01,231262,117.699,146.23,1042.397,1306.326,1750286,9.6,134345.9315
2023-06-21,230158,135.677,157.27,1639.739,1932.686,1041637,15.62,143214.2586
2023-06-18,228121,129.786,202.94,1391.691,1724.416,991587,16.23,143058.0724
2023-07-01,226942,109.247,95.34,947.256,1151.842,1108041,14.34,135513.0827
2023-06-28,226707,139.059,106.32,1418.345,1663.725,1008030,15.8,149266.3441
2023-07-06,223313,118.191,106.4,1205.778,1430.369,985142,15.83,146019.1702
2023-06-24,223080,125.211,86.31,1209.04,1420.561,1014518,15.36,132529.9468
2023-06-25,221893,133.51,73.73,1289.639,1496.879,990386,15.82,143358.4606
2023-07-02,221636,113.065,66.7,1044.424,1224.189,992538,15.74,141211.1912
2023-07-04,219103,125.666,91.77,1112.157,1329.593,927689,16.26,150585.5958
2023-07-15,218589,98.024,168.86,1154.592,1421.476,1018647,14.9,122751.0658
2023-07-03,218546,125.403,55.93,1149.612,1330.945,933217,16.22,148241.4203
2023-06-22,217359,125.816,137.69,1621.386,1884.892,1017977,15.2,135914.1803
2023-07-13,215543,118.152,162.14,1316.387,1596.68,988793,15.05,139314.066
2023-06-23,215204,126.749,92.18,1371.872,1590.801,998715,15.2,135296.2358
2023-07-10,212233,117.073,558.09,1325.685,2000.848,951294,15.41,142075.5446
2023-07-09,211426,109.931,609.58,1155.75,1875.262,948326,15.55,137581.7782
2023-07-12,211316,115.682,208,1344.126,1667.807,947191,15.47,139848.1467
2023-06-17,209153,118.395,234.33,1285.335,1638.06,979798,14.83,132158.5027
2023-07-07,208455,107.481,3087.58,1150.878,4345.938,968622,15.04,134030.7466
2023-07-11,208050,117.104,388.9,1257.105,1763.109,943429,15.23,140835.3111
2023-07-08,200782,102.056,747.03,1024.393,1873.479,953360,14.67,126506.9526
2023-07-14,199904,108.117,211.83,1235.712,1555.659,951966,14.45,129080.7019
